City Name,Latitude,Longitude,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
San Patricio,19.22,-104.7,91.4,91.4,70,20,11.41,MX,1596659058
Namatanai,-3.67,152.43,79.5,79.5,80,100,9.82,PG,1596659059
Plaster Rock,46.91,-67.39,80.6,84.2,45,20,12.75,CA,1596659059
Baykal'sk,51.51,104.15,55.81,55.81,87,100,1.21,RU,1596659059
Mayo,38.89,-76.51,82.4,87.01,61,20,8.05,US,1596659060
Stranda,62.31,6.94,59.0,61.0,91,100,7.74,NO,1596659060
Halifax,44.65,-63.57,70.0,82.0,70,27,3.0,CA,1596658810
Nioro,13.35,-15.75,76.17,76.17,92,100,8.61,GM,1596659060
Aljezur,37.32,-8.8,69.39,69.39,73,0,6.35,PT,1596659061
Batticaloa,7.71,81.69,80.87,80.87,68,100,7.61,LK,1596659061
Changji,44.02,87.32,77.0,77.0,44,100,6.71,CN,1596659061
Upernavik,72.79,-56.15,40.89,40.89,68,100,3.31,GL,1596659062
Hong Kong,22.29,114.16,78.01,80.01,88,100,11.01,HK,1596658790
Sibolga,1.74,98.78,78.12,78.12,72,100,3.27,ID,1596659062
Mandalgovi,45.76,106.27,69.21,69.21,37,0,11.21,MN,1596659062
Ostrovnoy,68.05,39.51,55.44,55.44,89,100,7.7,RU,1596658864
Avera,33.19,-82.53,89.6,93.2,52,40,3.51,US,1596659064
Cerrito,6.84,-72.69,80.6,80.6,65,40,6.93,CO,1596659064
Arlit,18.74,7.39,101.73,101.73,21,97,16.33,NE,1596659065
Yulara,-25.24,130.99,50.0,50.0,76,75,12.75,AU,1596659065
Kloulklubed,7.04,134.26,77.0,77.0,94,90,4.7,PW,1596659065
Lichinga,-13.31,35.24,62.01,62.6,59,0,2.24,MZ,1596659065
Regierungsbezirk Arnsberg,51.33,8.01,66.0,71.01,63,0,4.85,DE,1596659066
Tiksi,71.69,128.87,60.84,60.84,60,100,13.02,RU,1596659066
Bengkulu,-3.8,102.27,75.92,75.92,82,98,3.27,ID,1596659067
Port Blair,11.67,92.75,82.02,82.02,83,100,15.03,IN,1596658930
Samarai,-10.62,150.67,77.54,77.54,87,100,12.84,PG,1596659067
Voh,-20.97,164.7,62.31,62.31,81,0,2.89,NC,1596659068
Charlestown,-32.95,151.67,42.01,44.01,70,0,4.0,AU,1596659068
Kidal,18.44,1.41,89.69,89.69,45,6,6.33,ML,1596659068
Kayerkan,69.35,87.76,55.4,55.4,87,32,2.24,RU,1596659069
Harper,4.38,-7.72,73.02,73.02,75,66,8.5,LR,1596659069
Hambantota,6.12,81.12,79.3,79.3,83,96,13.15,LK,1596659069
Cockburn Town,21.46,-71.14,86.0,86.0,70,20,9.17,TC,1596659070
San Policarpo,12.18,125.51,83.1,83.1,80,100,11.86,PH,1596659070
Faya,18.39,42.45,66.2,68.0,88,20,8.05,SA,1596659070
Port Lincoln,-34.73,135.87,50.05,50.05,67,100,18.63,AU,1596659071
Kavaratti,10.57,72.64,82.89,82.89,80,90,30.27,IN,1596659071
Mar del Plata,-38.0,-57.56,62.01,66.2,82,90,10.29,AR,1596658834
Bournemouth,50.72,-1.88,63.0,64.99,88,75,12.75,GB,1596659072
Warora,20.23,79.0,79.65,79.65,81,100,12.46,IN,1596659072
Casper,42.87,-106.31,84.99,87.01,27,1,5.82,US,1596659022
Charters Towers,-20.1,146.27,59.76,59.76,95,90,8.79,AU,1596659073
Vao,-22.67,167.48,69.28,69.28,66,0,5.37,NC,1596659073
Price,39.6,-110.81,91.4,91.4,11,1,11.41,US,1596659073
Bethel,41.37,-73.41,82.4,86.0,48,20,9.17,US,1596658833
Żurrieq,35.83,14.47,75.2,78.01,69,0,11.41,MT,1596659074
Broome,42.25,-75.83,73.0,79.0,49,75,8.05,US,1596659074
Chokurdakh,70.63,147.92,55.54,55.54,54,13,5.46,RU,1596659075
Biga,40.23,27.24,77.0,77.0,69,0,18.34,TR,1596659075
Kamogawa,35.1,140.1,78.01,78.8,94,75,9.17,JP,1596659075
Beaver Falls,40.75,-80.32,75.2,81.0,44,40,3.36,US,1596659076
Berat,40.71,19.95,71.73,71.73,71,0,1.61,AL,1596659076
Requena,39.49,-1.1,75.99,75.99,70,0,8.63,ES,1596659076
Iwanai,42.97,140.51,71.65,71.65,90,100,2.39,JP,1596659076
Sambir,49.52,23.2,57.99,64.4,100,100,8.95,UA,1596659077
Itarema,-2.92,-39.92,81.21,81.21,62,8,16.35,BR,1596659077
Bitung,1.45,125.18,75.2,75.2,94,20,2.24,ID,1596659078
Pineville,31.32,-92.43,89.6,91.4,52,40,10.29,US,1596659078
Sal Rei,16.18,-22.92,80.6,80.6,78,75,11.41,CV,1596658882
Port Macquarie,-31.43,152.92,32.0,32.0,93,0,7.78,AU,1596659078
Middelburg,-25.78,29.46,48.43,48.43,48,0,7.99,ZA,1596659079
Kantang,7.41,99.52,77.65,77.65,86,100,1.63,TH,1596659079
Valentín Gómez Farías,28.22,-106.58,87.84,87.84,22,82,7.96,MX,1596659079
Santa Cruz de la Sierra,-17.8,-63.17,87.8,87.8,38,20,14.99,BO,1596658819
Saint Paul Harbor,57.79,-152.41,60.8,60.8,67,1,5.82,US,1596659037
Mindelo,16.89,-24.98,82.4,82.4,69,40,16.11,CV,1596659080
Batagay-Alyta,67.8,130.41,59.07,59.07,60,15,1.97,RU,1596659081
Merauke,-8.47,140.33,75.56,75.56,87,89,10.83,ID,1596659081
Bilma,18.69,12.92,99.52,99.52,22,10,8.37,NE,1596659081
Kyzyl-Suu,42.34,78.0,61.95,61.95,49,18,4.59,KG,1596659081
Nagato,34.38,131.2,73.99,78.8,94,40,2.24,JP,1596659082
Hirara,24.8,125.28,83.03,83.03,84,96,12.19,JP,1596659082
Khatanga,71.97,102.5,55.29,55.29,89,97,9.15,RU,1596659082
Reguengos de Monsaraz,38.43,-7.53,87.8,95.0,35,20,14.99,PT,1596659084
Esperance,-33.87,121.9,51.8,51.8,100,90,5.82,AU,1596659084
Kortkeros,61.81,51.58,59.0,59.0,100,62,2.24,RU,1596659085
Vilkaviškis,54.65,23.03,54.88,54.88,84,94,4.12,LT,1596659085
Tanta,30.79,31.0,70.65,70.65,89,0,6.17,EG,1596659085
Maniitsoq,65.42,-52.9,47.97,47.97,76,7,10.36,GL,1596659085
Baykit,61.67,96.37,60.6,60.6,74,97,4.34,RU,1596659086
Pangnirtung,66.15,-65.71,50.0,50.0,93,90,4.7,CA,1596659086
Diego de Almagro,-26.37,-70.05,80.58,80.58,17,0,10.94,CL,1596659086
Limbang,4.75,115.0,75.0,75.2,94,75,5.82,MY,1596659087
Nosy Varika,-20.58,48.53,65.64,65.64,88,10,6.85,MG,1596659087
Bambous Virieux,-20.34,57.76,66.0,68.0,68,75,12.75,MU,1596659087
Doba,8.65,16.85,72.28,72.28,82,100,3.67,TD,1596659088
Kaseda-shirakame,31.42,130.32,78.01,78.01,88,17,4.0,JP,1596659088
Airai,-8.93,125.41,53.62,53.62,100,18,0.47,TL,1596659088
Karratha,-20.74,116.85,62.22,62.22,50,0,15.82,AU,1596659089
Hithadhoo,-0.6,73.08,82.27,82.27,75,100,13.24,MV,1596659089
Atuona,-9.8,-139.03,78.6,78.6,71,4,16.67,PF,1596659089
Tomatlán,19.93,-105.25,92.43,92.43,55,0,10.16,MX,1596659089
Pevek,69.7,170.31,34.7,34.7,97,100,5.46,RU,1596659010
Beidao,34.57,105.89,74.08,74.08,78,100,2.89,CN,1596659090
Arona,28.1,-16.68,68.0,75.2,69,20,2.21,ES,1596659090
Derzhavīnsk,51.1,66.32,72.5,72.5,45,0,17.45,KZ,1596659090
Sawākin,19.11,37.33,91.24,91.24,52,100,21.77,SD,1596659091
Sorong,-0.88,131.25,78.87,78.87,84,100,5.26,ID,1596659091
Arkhangelsk,64.54,40.54,60.8,60.8,93,90,11.18,RU,1596659091
Staraya Poltavka,50.48,46.48,74.79,74.79,76,0,14.61,RU,1596659092
Tibiao,11.29,122.04,81.55,81.55,72,100,4.63,PH,1596659092
Venice,27.1,-82.45,89.01,91.0,70,1,10.29,US,1596659092
Iracoubo,5.48,-53.2,82.8,82.8,76,0,11.72,GF,1596659093
Fort Nelson,58.81,-122.7,71.6,71.6,43,75,4.7,CA,1596659093
Baruun-Urt,46.68,113.28,59.43,59.43,70,10,0.81,MN,1596659093
Pandhāna,21.7,76.22,80.24,80.24,84,100,4.72,IN,1596659094
Fort-Shevchenko,44.51,50.26,72.25,72.25,62,11,9.15,KZ,1596659094
Grand Gaube,-20.01,57.66,66.0,66.0,73,67,3.0,MU,1596659094
Talcahuano,-36.72,-73.12,55.4,55.4,62,40,10.29,CL,1596659033
Provideniya,64.38,-173.3,53.6,53.6,66,75,6.71,RU,1596659095
Dzaoudzi,-12.79,45.27,73.4,73.4,78,1,5.82,YT,1596659095
Pimenteiras,-6.25,-41.42,86.5,86.5,34,0,9.46,BR,1596659095
Tezu,27.92,96.17,78.84,78.84,80,27,4.5,IN,1596659096
Marawi,8.0,124.29,75.0,75.0,96,99,1.99,PH,1596659096
Jinji,23.23,110.83,76.62,76.62,94,100,2.91,CN,1596659096
Caravelas,-17.71,-39.25,71.49,71.49,72,1,10.31,BR,1596659096
Negara,-8.32,114.6,73.08,73.08,83,86,7.78,ID,1596659097
Korla,41.76,86.15,83.14,83.14,23,60,14.03,CN,1596659097
Oliveira,-20.7,-44.83,68.14,68.14,41,0,7.4,BR,1596659097
Verkhnyaya Toyma,62.23,45.0,65.12,65.12,77,100,7.49,RU,1596659098
Hornepayne,49.21,-84.77,55.58,55.58,80,100,4.65,CA,1596659098
Andros Town,24.7,-77.77,87.8,87.8,70,40,9.17,BS,1596659098
Touros,-5.2,-35.46,78.8,78.8,69,88,13.87,BR,1596659071
Laas,46.62,10.7,59.0,59.0,77,5,3.36,IT,1596659099
Alice Springs,-23.7,133.88,48.2,48.2,100,75,4.7,AU,1596659099
Boa Vista,2.82,-60.67,82.4,82.4,69,75,4.7,BR,1596659099
Athens,37.98,23.72,75.99,82.0,61,20,3.18,GR,1596659068
Plettenberg Bay,-34.05,23.37,52.39,52.39,69,83,7.02,ZA,1596659100
Ipixuna,-1.76,-48.8,89.6,89.6,46,11,9.17,BR,1596659100
Lander,42.83,-108.73,82.0,88.0,26,1,6.93,US,1596659101
High Prairie,55.43,-116.49,80.04,80.04,35,0,4.61,CA,1596659101
Aragarças,-15.9,-52.25,89.58,89.58,19,0,6.58,BR,1596659101
Hasaki,35.73,140.83,73.0,75.0,100,20,4.7,JP,1596659103
Ewo,-0.87,14.82,79.0,79.0,63,100,4.9,CG,1596659103
Mâncio Lima,-7.61,-72.9,91.4,91.4,43,75,3.36,BR,1596659104
Illapel,-31.63,-71.17,66.0,66.0,60,100,7.25,CL,1596659104
Valdivia,-39.81,-73.25,48.2,48.2,87,75,5.82,CL,1596659105
Codrington,-38.27,141.97,46.02,46.02,79,63,1.9,AU,1596659105
Kodīnar,20.79,70.7,81.37,81.37,88,100,15.37,IN,1596659105
Moramanga,-18.93,48.2,57.96,57.96,90,95,0.76,MG,1596659105
Alofi,-19.06,-169.92,77.0,77.0,94,75,6.93,NU,1596659106
Erenhot,43.65,111.98,73.62,73.62,45,0,12.93,CN,1596659106
Borger,52.92,6.79,66.99,71.01,65,0,6.44,NL,1596659106
Saint-Pierre,-21.34,55.48,53.01,62.6,67,58,6.93,RE,1596659107
Dikson,73.51,80.55,46.27,46.27,91,34,16.42,RU,1596659107
Mweka,-4.85,21.57,77.52,77.52,53,61,2.17,CD,1596659107
Richards Bay,-28.78,32.04,62.65,62.65,86,38,7.43,ZA,1596659107
Priargunsk,50.37,119.1,59.85,59.85,95,91,5.03,RU,1596659108
Port Hawkesbury,45.62,-61.35,68.0,73.4,83,40,5.82,CA,1596659108
Salta,-24.79,-65.41,86.0,86.0,25,0,3.36,AR,1596659108
Tuatapere,-46.13,167.68,39.99,39.99,96,100,5.82,NZ,1596659109
North Platte,41.12,-100.77,86.0,87.8,48,1,4.7,US,1596659109
Biltine,14.53,20.92,78.6,78.6,79,83,6.93,TD,1596659109
Steinkjer,64.19,11.39,60.8,61.0,77,75,5.82,NO,1596659109
Brae,60.4,-1.35,55.4,55.4,100,100,5.82,GB,1596659110
Zyryanka,65.75,150.85,57.43,57.43,51,88,6.87,RU,1596659110
Winnemucca,40.97,-117.74,93.2,93.2,13,1,5.82,US,1596659110
Snåase,64.25,12.38,60.8,60.8,77,75,5.82,NO,1596659111
Lompoc,34.64,-120.46,64.4,64.99,72,15,10.29,US,1596658966
Bairnsdale,-37.83,147.62,43.0,43.0,81,47,7.18,AU,1596659111
Kashgar,39.45,75.98,75.2,75.2,38,20,13.42,CN,1596659112
Sémbé,1.65,14.58,70.9,70.9,88,27,2.48,CG,1596659112
Kabare,-2.47,28.82,61.92,61.92,66,9,1.54,CD,1596659112
Te Anau,-45.42,167.72,44.06,44.06,91,100,2.57,NZ,1596659015
Amapá,1.0,-52.0,76.82,76.82,92,100,3.76,BR,1596659113
Valleyview,55.07,-117.29,78.8,78.8,42,34,7.18,CA,1596659033
Sabha,27.04,14.43,94.08,94.08,11,0,8.81,LY,1596659113
Atikokan,48.76,-91.62,79.75,79.75,30,3,6.53,CA,1596659114
Waingapu,-9.66,120.26,70.32,70.32,79,30,5.39,ID,1596659068
Orlik,52.52,99.83,50.41,50.41,81,100,1.77,RU,1596659114
Mareeba,-17.0,145.43,59.0,68.0,82,40,5.82,AU,1596659115
São Filipe,14.9,-24.5,77.81,77.81,82,16,6.58,CV,1596659115
Atherton,53.52,-2.49,66.99,66.99,82,81,1.01,GB,1596658908
Suntar,62.14,117.63,55.96,55.96,71,17,3.62,RU,1596659115
Terney,45.05,136.61,61.84,61.84,91,100,3.38,RU,1596659116
Aldan,58.6,125.39,50.18,50.18,75,66,2.82,RU,1596658925
Erzin,36.96,36.2,82.0,82.0,83,8,1.68,TR,1596659093
Verín,41.94,-7.44,79.0,79.0,10,28,3.0,ES,1596659116
Ometepec,16.68,-98.42,91.42,91.42,53,9,4.65,MX,1596659117
Salinas,36.68,-121.66,64.0,69.8,64,90,13.87,US,1596659117
Levice,48.22,18.61,69.01,70.0,81,60,1.01,SK,1596659117
Anloga,5.79,0.9,75.2,75.2,78,20,16.11,GH,1596659117
Griffith,41.53,-87.42,75.0,78.01,47,75,3.36,US,1596658851
Clyde River,70.47,-68.59,42.8,42.8,75,75,13.87,CA,1596659118
Skibbereen,51.55,-9.27,66.2,66.2,63,40,2.24,IE,1596659118
